hist_B_0,hist_B_1,hist_B_2,hist_B_3,hist_B_4,hist_B_5,hist_B_6,hist_B_7,hist_G_0,hist_G_1,hist_G_2,hist_G_3,hist_G_4,hist_G_5,hist_G_6,hist_G_7,hist_R_0,hist_R_1,hist_R_2,hist_R_3,hist_R_4,hist_R_5,hist_R_6,hist_R_7,label
0.028643541,0.54302007,0.6308164,0.5524582,0.033143103,0.008230903,0.001755926,0.0,0.038921893,0.59894586,0.7526027,0.12917556,0.22439316,0.07412082,0.028317086,0.0019178903,0.045859125,0.7223568,0.6727685,0.14816025,0.03235336,0.019553121,0.00997814,0.00030236784,diseased
0.006368813,0.4378559,0.704603,0.55748343,0.03141948,0.0010614689,0.00031844067,0.0,0.013896683,0.59170616,0.7517792,0.28503874,0.055586733,0.013478737,0.00041794535,0.0,0.02532537,0.72417843,0.6882328,0.03295021,0.01270807,0.0035401052,0.00027231578,0.0,diseased
0.01897229,0.5066964,0.74715185,0.42954943,0.011844579,0.0031445785,0.0,0.0,0.023056587,0.62046003,0.75879955,0.048387814,0.0011373204,0.058727093,0.18145432,0.0019644627,0.030051515,0.82835066,0.5323978,0.0014876988,0.1546215,0.0745833,0.0034712972,0.0,diseased
0.014709078,0.57365406,0.81212497,0.10562957,9.193174e-05,0.0,0.0,0.0,0.032208867,0.7375335,0.6544842,0.15916136,0.03617304,0.004063273,9.910421e-05,0.0,0.03444498,0.85468775,0.51780546,0.013569234,0.003914202,0.00069585815,0.0,0.0,diseased
0.10130076,0.58511907,0.7590762,0.26679003,0.00052270776,0.0,0.0,0.0,0.026855588,0.6184626,0.77302927,0.12653491,0.05635753,0.0046066153,0.0,0.0,0.03181917,0.8274807,0.5559693,0.0716615,0.00455862,0.00227931,0.0,0.0,diseased
0.03510068,0.56531596,0.8010755,0.19354126,0.0023400453,0.0,9.750189e-05,0.0,0.024369879,0.6251445,0.7728869,0.10109692,0.031795077,0.0038077936,0.000571169,0.0,0.034747448,0.8530278,0.51989216,0.028853577,0.0038706018,0.0008796822,0.0,0.0,diseased
0.03293631,0.5768698,0.7963806,0.17863104,0.002324916,0.0,0.0,0.0,0.029034192,0.65982383,0.73867255,0.13225608,0.025052914,0.0057291547,0.00038841728,0.0,0.03702886,0.84393835,0.5342989,0.02948101,0.0062158755,0.0037295255,0.00017759645,0.0,diseased
0.009040004,0.5592613,0.76514995,0.3187363,0.009649442,0.0021330346,0.00020314615,0.0,0.01959262,0.6073713,0.7788067,0.11605629,0.1027613,0.012095445,0.0010995859,0.0,0.029206095,0.8181403,0.5680401,0.083551615,0.011275771,0.0039742473,9.242435e-05,0.0,diseased
0.0811456,0.7225732,0.68492544,0.0458567,0.008303271,0.0029250158,0.00018871069,0.0,0.10896686,0.812608,0.5492714,0.1483848,0.06335763,0.0079455,0.000103188315,0.0,0.10190429,0.9013709,0.41833916,0.04550103,0.008199195,0.00090101047,0.0,0.0,diseased
0.06556066,0.6582717,0.66072357,0.3546672,0.0058631487,0.0011726298,0.0002132054,0.0001066027,0.054479446,0.6223427,0.7596227,0.16271745,0.07826915,0.009577672,0.00030895718,0.0,0.06212179,0.7813455,0.61436903,0.08430814,0.032411367,0.005691282,0.00019292481,0.0,diseased
0.05119373,0.6262628,0.6826189,0.37223002,0.025059115,0.0047321934,0.0,0.0,0.051764306,0.62409747,0.7253755,0.23564012,0.15754354,0.031846303,0.017104728,0.00033759332,0.060004562,0.72727484,0.6767344,0.09454378,0.017464742,0.013562007,0.008586018,0.00039027358,diseased
0.01376217,0.5988404,0.79188275,0.118838206,0.00018597528,0.0,0.0,0.0,0.029740376,0.7060309,0.7050054,0.039436296,0.045216557,0.0018646003,0.00018646003,0.0,0.03310042,0.88000566,0.47323254,0.02327373,0.0018101791,0.00068959204,0.00017239801,0.0,diseased
0.03516943,0.6022893,0.7472735,0.2782794,0.011688965,0.0038963216,0.0013329522,0.0,0.034288853,0.6445685,0.74795145,0.04843817,0.12951271,0.066408835,0.019829698,0.0011360765,0.03717029,0.8032144,0.5797972,0.12218744,0.041915435,0.018189717,0.016805716,0.00039542862,diseased
0.037530877,0.55461127,0.71794987,0.41897148,0.002960182,0.000105720785,0.0,0.0,0.033516567,0.5798961,0.79735714,0.15806334,0.0398629,0.015667507,0.00029748434,0.0,0.0456917,0.7531701,0.65454286,0.042162664,0.02024551,0.0057578967,0.0,0.0,diseased
0.041872106,0.6336276,0.7699661,0.06229978,0.0057308404,0.00092432904,0.0,0.0,0.055170286,0.7622628,0.6353513,0.015280978,0.09952481,0.043461483,0.014586388,9.922713e-05,0.057825655,0.91394097,0.39314055,0.06752485,0.03380861,0.027065363,0.01930601,0.00083135924,diseased
0.040347748,0.6048329,0.78443307,0.13091454,0.00862541,0.0010542166,0.0,0.0,0.042380612,0.70953345,0.69820595,0.01992084,0.07030885,0.039060473,0.020213794,0.00029295354,0.045049664,0.8820299,0.46464983,0.04828732,0.024513679,0.024051156,0.023958651,0.0030526468,diseased
0.048611995,0.64119315,0.7628631,0.066899806,0.00849077,0.0006531362,0.0,0.0,0.04984308,0.767741,0.6322979,0.026793119,0.07338557,0.0407807,0.022852954,0.00019700822,0.04847031,0.9064222,0.41459915,0.04627956,0.02382439,0.027840763,0.025832577,0.0022820297,diseased
0.04063016,0.63479793,0.7614286,0.12363178,0.01596185,0.008222771,0.00029021545,0.0,0.04854826,0.7224639,0.67298996,0.012342778,0.12846774,0.07364524,0.026331259,0.00041142592,0.05447263,0.8769896,0.45808324,0.112596504,0.06434086,0.026249493,0.023979798,9.86823e-05,diseased
0.0641835,0.6081753,0.7273433,0.31140497,0.0013589341,0.00020906678,0.0,0.0,0.04751296,0.5897485,0.79322153,0.14146127,0.026058655,0.006955506,9.796487e-05,0.0,0.05306723,0.7718702,0.6325687,0.03058736,0.017504815,0.0038694853,0.0,0.0,diseased
0.060735606,0.65614873,0.71351576,0.23804274,0.0032664528,0.0005103833,0.0002041533,0.0,0.042502113,0.6493213,0.74512446,0.13939504,0.043889128,0.0027740307,0.00019814505,0.0,0.045616083,0.8073952,0.58082587,0.09104328,0.019360863,0.0031166268,0.0,0.0,diseased
0.032043908,0.5995505,0.7623655,0.2414773,9.982526e-05,0.0,0.0,0.0,0.047919746,0.6255275,0.7437844,0.22777306,0.03619689,0.0035991226,0.0,0.0,0.049999043,0.7552341,0.6521054,0.04254062,0.0083792135,0.00036831707,0.0,0.0,diseased
0.013362395,0.5412296,0.7213589,0.43159485,0.016098004,0.00021043142,0.0,0.0,0.022605259,0.63222796,0.7267591,0.2660228,0.027640067,0.008117343,0.000102751175,0.0,0.031279583,0.76387084,0.6440709,0.02343715,0.011898861,0.0021634293,0.00018028577,0.0,diseased
0.034384005,0.58401793,0.75971305,0.28374457,0.007958316,0.0015304454,0.00030608906,0.0,0.041631114,0.59711486,0.7724884,0.21087064,0.022525046,0.0029161891,0.0,0.0,0.048318632,0.7781029,0.6255944,0.027207667,0.0105554825,0.0010919465,0.0,0.0,diseased
0.039280497,0.5258036,0.7021389,0.47851756,0.0030954739,0.0,0.0,0.0,0.03318914,0.5745266,0.7746281,0.118793495,0.23286103,0.01997793,0.005800044,0.0,0.038061902,0.6740861,0.7222978,0.14941737,0.009466679,0.005465299,0.00019518925,0.0,diseased
0.0118499035,0.5797989,0.6596799,0.47801664,0.0039147004,0.00010580271,0.00010580271,0.0,0.024518594,0.5563908,0.81798613,0.14310464,0.0142150605,0.0067736194,9.540309e-05,0.0,0.028282167,0.73632085,0.6758185,0.014320085,0.009576556,0.002058512,0.0,0.0,diseased
0.033260446,0.64221066,0.763341,0.061389808,0.0010078923,0.0,0.0,0.0,0.057079423,0.7424359,0.64037865,0.18686956,0.02279143,0.002521176,0.00020169407,0.0,0.05901216,0.80807555,0.5853024,0.030188037,0.0063649477,0.0008183504,0.0,0.0,diseased
